access_number,symbol,cik,form,filed_date,accepted_date,report_url,filing_url,period_date
0001179110-10-002443,,1410703,4,2010-02-10 00:00:00,2010-02-10 13:43:07,https://www.sec.gov/Archives/edgar/data/1410703/000117911010002443/edgar.xml,https://www.sec.gov/Archives/edgar/data/1410703/000117911010002443/0001179110-10-002443-index.html,2010-02-09 00:00:00
0000950123-10-026194,ZBH,1136869,DEFA14A,2010-03-19 00:00:00,2010-03-19 08:33:27,https://www.sec.gov/Archives/edgar/data/1136869/000095012310026194/c55361dadefa14a.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095012310026194/0000950123-10-026194-index.html,
0001104659-10-012306,,277924,8-K,2010-03-05 00:00:00,2010-03-05 10:41:53,https://www.sec.gov/Archives/edgar/data/277924/000110465910012306/a10-5210_18k.htm,https://www.sec.gov/Archives/edgar/data/277924/000110465910012306/0001104659-10-012306-index.html,2010-03-04 00:00:00
0001127602-10-004425,,1216438,5,2010-02-12 00:00:00,2010-02-12 07:46:02,https://www.sec.gov/Archives/edgar/data/1216438/000112760210004425/form5.xml,https://www.sec.gov/Archives/edgar/data/1216438/000112760210004425/0001127602-10-004425-index.html,2009-12-31 00:00:00
0000897878-10-000015,,1038727,424B2,2010-01-27 00:00:00,2010-01-27 15:09:24,https://www.sec.gov/Archives/edgar/data/1038727/000089787810000015/fps048.htm,https://www.sec.gov/Archives/edgar/data/1038727/000089787810000015/0000897878-10-000015-index.html,
0001193125-10-007365,,1261379,POS AM,2010-01-15 00:00:00,2010-01-15 17:16:55,https://www.sec.gov/Archives/edgar/data/1261379/000119312510007365/dposam.htm,https://www.sec.gov/Archives/edgar/data/1261379/000119312510007365/0001193125-10-007365-index.html,
0000902219-10-000921,WU,1365135,SC 13G/A,2010-02-12 00:00:00,2010-02-12 11:01:57,https://www.sec.gov/Archives/edgar/data/1365135/000090221910000921/sec_filing.htm,https://www.sec.gov/Archives/edgar/data/1365135/000090221910000921/0000902219-10-000921-index.html,
0001225208-10-002682,,1425374,4,2010-01-29 00:00:00,2010-01-29 19:35:43,https://www.sec.gov/Archives/edgar/data/1425374/000122520810002682/doc4.xml,https://www.sec.gov/Archives/edgar/data/1425374/000122520810002682/0001225208-10-002682-index.html,2010-01-27 00:00:00
0001193125-10-023935,,831114,497,2010-02-08 00:00:00,2010-02-08 09:51:28,https://www.sec.gov/Archives/edgar/data/831114/000119312510023935/d497.htm,https://www.sec.gov/Archives/edgar/data/831114/000119312510023935/0001193125-10-023935-index.html,
0001127602-10-004066,,1241621,5,2010-02-10 00:00:00,2010-02-10 09:46:18,https://www.sec.gov/Archives/edgar/data/1241621/000112760210004066/form5.xml,https://www.sec.gov/Archives/edgar/data/1241621/000112760210004066/0001127602-10-004066-index.html,2009-12-31 00:00:00
0001140361-10-010929,,1027986,D/A,2010-03-09 00:00:00,2010-03-09 17:23:06,https://www.sec.gov/Archives/edgar/data/1027986/000114036110010929/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1027986/000114036110010929/0001140361-10-010929-index.html,
0001223112-10-000046,,1223112,4,2010-03-01 00:00:00,2010-03-01 11:55:23,https://www.sec.gov/Archives/edgar/data/1223112/000122311210000046/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1223112/000122311210000046/0001223112-10-000046-index.html,2010-02-25 00:00:00
0001193125-10-002333,,1413609,DEF 14A,2010-01-07 00:00:00,2010-01-07 06:06:44,https://www.sec.gov/Archives/edgar/data/1413609/000119312510002333/ddef14a.htm,https://www.sec.gov/Archives/edgar/data/1413609/000119312510002333/0001193125-10-002333-index.html,2010-01-20 00:00:00
0000909518-10-000172,,1393744,4,2010-03-15 00:00:00,2010-03-15 17:57:31,https://www.sec.gov/Archives/edgar/data/1393744/000090951810000172/lgbenv_form4ex.xml,https://www.sec.gov/Archives/edgar/data/1393744/000090951810000172/0000909518-10-000172-index.html,2010-03-11 00:00:00
0001209191-10-001413,,1333513,4,2010-01-05 00:00:00,2010-01-05 18:10:02,https://www.sec.gov/Archives/edgar/data/1333513/000120919110001413/doc4.xml,https://www.sec.gov/Archives/edgar/data/1333513/000120919110001413/0001209191-10-001413-index.html,2009-12-31 00:00:00
0001193125-10-001276,,1029786,8-K,2010-01-05 00:00:00,2010-01-05 16:41:10,https://www.sec.gov/Archives/edgar/data/1029786/000119312510001276/d8k.htm,https://www.sec.gov/Archives/edgar/data/1029786/000119312510001276/0001193125-10-001276-index.html,2010-01-01 00:00:00
0001209191-10-010763,,1169264,4,2010-02-19 00:00:00,2010-02-19 13:59:23,https://www.sec.gov/Archives/edgar/data/1169264/000120919110010763/c96635_4x0.xml,https://www.sec.gov/Archives/edgar/data/1169264/000120919110010763/0001209191-10-010763-index.html,2010-02-17 00:00:00
0001213900-10-000671,,1392446,3,2010-02-22 00:00:00,2010-02-22 17:17:50,https://www.sec.gov/Archives/edgar/data/1392446/000121390010000671/f3021210lin_mondoex.xml,https://www.sec.gov/Archives/edgar/data/1392446/000121390010000671/0001213900-10-000671-index.html,2010-02-12 00:00:00
0001437749-10-000169,,1245503,4,2010-01-28 00:00:00,2010-01-28 18:02:35,https://www.sec.gov/Archives/edgar/data/1245503/000143774910000169/rdgdoc.xml,https://www.sec.gov/Archives/edgar/data/1245503/000143774910000169/0001437749-10-000169-index.html,2010-01-26 00:00:00
0001193125-10-051080,,1331754,8-K,2010-03-09 00:00:00,2010-03-09 12:03:48,https://www.sec.gov/Archives/edgar/data/1331754/000119312510051080/d8k.htm,https://www.sec.gov/Archives/edgar/data/1331754/000119312510051080/0001193125-10-051080-index.html,2010-03-03 00:00:00
